filename,henry_cons,f-chi-0-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-2-all,f-Z-3-all,f-I-3-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-1-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-3,f-lig-I-0,f-lig-I-3,f-lig-T-0,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,lc-chi-3-all,lc-Z-0-all,lc-Z-3-all,lc-T-0-all,lc-T-1-all,lc-S-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-T-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-alpha-0-all,func-alpha-2-all,D_func-chi-3-all,D_func-T-1-all,D_func-alpha-3-all,feature_2,feature_4,feature_6,feature_7,feature_9,feature_10,feature_11,feature_13,feature_16,feature_17,feature_19,feature_42,feature_44,feature_45,feature_46,feature_47,feature_48,feature_51,feature_52,feature_54,feature_56,feature_58,feature_59,feature_60,feature_61,feature_62,feature_68,feature_86,feature_88,feature_89,feature_90,feature_92,feature_93,feature_96,feature_97,feature_98,feature_100,feature_101,feature_102,feature_103,feature_104
LUDVAH_clean_no_solvent.cif,0.016,60.77726667,153.1208667,166.022,6525.916667,9676.166667,5212,23.33333333,86.16666667,78.16666667,39.33333333,15.58033333,18.44425,16.83,31.35,900,3467.5,720,840,8,15.41666667,31.08333333,47,62.66666667,5.480166667,4.0348,5.9736,-4.715833333,-3.6,-5.8,1.916666667,96,212,7.5,3.666666667,15.33333333,0.9475,2.16,5.92,230.5746,515.763,796.8186,920.778,954,2232,3192,36,144,198,678,720,15.69,38.4846,55.7232,21.128,49,56,4,12,0.5625,167.24,233.945228,150.325228,14,13,-2,0.72,0.74,-2.01422,1.88578,54.76,276.76,2.45,-2,-19.5,0.008030687,-0.000560118,0.003661329,0.003179888,-0.000221788,0.005249105,0.002761753,-0.000192625,-0.000104917,0.002483091,-0.000317969,4.81E-06,-5.42E-06,-5.31E-06,2.94E-06,-2.71E-05,1.45E-05,-4.74E-06,4.74E-05,4.81E-06,2.47E-05,-9.28E-06,2.05E-05,1.18E-05,-1.73E-05,0.000185214,-8.45E-35,-4.07E-06,3.20E-07,-4.09E-05,5.89E-05,2.99E-05,-4.79E-06,1.32E-05,-1.07E-05,8.44E-06,-2.10E-05,2.85E-05,3.06E-05,2.78E-05,0.000286678
LUDVEL_clean_no_solvent.cif,0.019,61.3669,156.9956,170.544,6760,10268,5424,24,88,80,40,15.886,18.81,16.83,31.35,900,3600,720,840,8,16,32,48,64,5.633,4.0348,5.9736,-4.8,-3.6,-5.8,0,96,212,8,4,16,0.94,2.16,5.92,230.5746,515.763,796.8186,920.778,954,2232,3192,36,144,198,678,720,15.69,38.4846,55.7232,21.128,49,56,4,12,0.5625,167.24,233.945228,150.325228,14,13,-2,0.72,0.74,-2.01422,1.88578,54.76,276.76,2.45,-2,-19.5,0.008503074,-0.000837037,0.003437651,0.003230258,-0.000317984,0.005184009,0.003035377,-0.0002988,-0.0001531,0.002495944,-0.000479523,4.45E-06,-6.77E-06,-1.66E-06,-5.98E-06,-2.02E-05,1.20E-05,1.05E-05,3.31E-05,-5.64E-06,2.94E-05,-1.96E-05,9.46E-06,4.35E-05,2.32E-05,9.34E-05,-6.26E-35,-3.80E-06,-6.90E-06,-4.50E-05,4.39E-05,4.84E-06,1.83E-05,5.03E-07,5.50E-06,2.32E-05,-3.79E-06,7.85E-06,2.11E-05,4.26E-05,0.000308468
LUDVIP_clean_no_solvent.cif,0.011,61.3669,156.9956,170.544,6760,10268,5424,24,88,80,40,15.886,18.81,16.83,31.35,900,3600,720,840,8,16,32,48,64,5.633,4.0348,5.9736,-4.8,-3.6,-5.8,0,96,212,8,4,16,0.94,2.16,5.92,230.5746,515.763,796.8186,920.778,954,2232,3192,36,144,198,678,720,15.69,38.4846,55.7232,21.128,49,56,4,12,0.5625,167.24,233.945228,150.325228,14,13,-2,0.72,0.74,-2.01422,1.88578,54.76,276.76,2.45,-2,-19.5,0.008633624,-0.001100165,0.003536103,0.003273658,-0.000417155,0.005297873,0.003030692,-0.000386195,-0.000188316,0.002391615,-0.000624992,9.14E-06,-1.82E-05,-1.44E-06,-1.52E-05,-4.06E-05,2.43E-05,2.49E-05,6.64E-05,2.14E-06,7.79E-05,-3.02E-06,5.55E-06,3.54E-05,6.35E-05,0.000190039,-7.09E-35,-2.09E-06,-3.65E-06,-6.31E-05,5.62E-05,1.33E-05,9.48E-06,-2.72E-06,2.34E-06,2.22E-05,-2.84E-06,3.61E-05,1.16E-05,2.70E-05,0.000430438
LUDVOV_clean_no_solvent.cif,0.02,61.3669,156.9956,170.544,6760,10268,5424,24,88,80,40,15.886,18.81,16.83,31.35,900,3600,720,840,8,16,32,48,64,5.633,4.0348,5.9736,-4.8,-3.6,-5.8,0,96,212,8,4,16,0.94,2.16,5.92,230.5746,515.763,796.8186,920.778,954,2232,3192,36,144,198,678,720,15.69,38.4846,55.7232,21.128,49,56,4,12,0.5625,167.24,233.945228,150.325228,14,13,-2,0.72,0.74,-2.01422,1.88578,54.76,276.76,2.45,-2,-19.5,0.008370335,-0.000696726,0.003455591,0.003180438,-0.000264732,0.005053594,0.002927195,-0.000243652,-0.000123966,0.002366447,-0.000387154,4.40E-06,-4.94E-06,-4.43E-06,-1.95E-06,-1.90E-05,1.15E-05,3.99E-06,3.06E-05,-3.58E-06,2.02E-05,-2.35E-05,2.05E-05,4.02E-05,5.52E-06,8.35E-05,-4.86E-35,-5.62E-07,-5.09E-06,-3.03E-05,2.14E-05,-2.55E-06,1.32E-05,-7.89E-07,3.68E-06,1.09E-06,-3.93E-06,-1.08E-05,1.50E-05,3.65E-05,0.000264949
LUDVUB_clean_no_solvent.cif,0.024,61.3669,156.9956,170.544,6760,10268,5424,24,88,80,40,15.886,18.81,16.83,31.35,900,3600,720,840,8,16,32,48,64,5.633,4.0348,5.9736,-4.8,-3.6,-5.8,0,96,212,8,4,16,0.94,2.16,5.92,230.5746,515.763,796.8186,920.778,954,2232,3192,36,144,198,678,720,15.69,38.4846,55.7232,21.128,49,56,4,12,0.5625,167.24,233.945228,150.325228,14,13,-2,0.72,0.74,-2.01422,1.88578,54.76,276.76,2.45,-2,-19.5,0.008572075,-0.002175902,0.003505754,0.003232429,-0.000820507,0.005216523,0.002980414,-0.000756537,-0.000450482,0.00286402,-0.001220906,5.34E-06,-1.61E-05,4.76E-06,-2.18E-05,-1.78E-05,1.48E-05,3.66E-05,2.95E-05,-1.67E-05,5.14E-05,-3.00E-05,-1.45E-05,0.000108078,6.91E-05,6.10E-05,-2.56E-09,7.63E-08,-8.38E-07,-1.84E-05,1.31E-05,1.52E-06,1.29E-06,-8.38E-08,-2.43E-06,1.41E-06,-5.50E-06,-8.38E-06,7.22E-06,1.73E-05,0.000167397
LUFBUL_clean_no_solvent.cif,0.01,84.7754,209.9612,299.472,1283,2906,1632,36,112,126,88,15.038,24.624,29.07,62.586,841,870,1044,1740,12,16,40,72,88,4.0848,6.3756,10.3224,-5.36,-3.9,-10.14,86,138,288,6,6,26,2.56,3.66,9.08,138.9545,289.4462,446.5556,470.46,605,1286,1596,20,72,106,358,344,8.9108,20.8678,29.9756,12.648,56.5,69,2.5,7.5,0.5477,113.565,132.102614,101.7,7,2.5,-2,0.36,-0.05,-0.10711,-7.95,45.87,227.435076,2.366666667,-1,-5.342813333,0.008531542,-0.003220743,0.003621115,0.003323013,-0.001254471,0.005804698,0.003049453,-0.001151199,-0.00061779,0.002858641,-0.002010935,7.49E-06,-1.31E-05,-7.62E-06,-1.18E-05,-1.59E-05,2.36E-05,2.18E-05,2.85E-05,1.58E-05,2.45E-05,-3.51E-06,1.09E-05,4.18E-05,3.19E-05,3.91E-05,-2.77E-08,5.62E-06,-2.69E-05,-4.74E-06,4.86E-05,7.24E-06,6.17E-05,-2.32E-05,-2.74E-05,6.97E-05,1.27E-05,-4.45E-05,0.00012167,1.35E-05,0.000183205
MAPLEX_clean_no_solvent.cif,0.016,233.5754,1706.0544,1539.618,9194,25842,21432,196,952,1324,1248,62.5296,36.084,19.8,53.376,3969,4410,6237,6552,15,81,198,243,342,11.1048,10.584,18.9336,-19.27,-8.1,-26.48,497,342,841,59,36,97,8.51,5.46,13.93,284.0229,558.45,889.1468,1105.566,1326,2628,4464,39,166,210,752,868,18.5087,42.5194,63.7072,18.379125,60.5,94.5,2,4.5,0.5404,83.3375,108.905,149.4625858,1.75,4.75,-1.25,-0.035,0.03,-5.25,-8.8017775,41.425,211.23,2.955,-2,-12.85711,0.005497621,-0.00187131,0.001954337,0.002046217,-0.000696503,0.003582126,0.002142417,-0.000729248,-0.000298561,0.001535505,-0.001276628,1.60E-05,-4.17E-05,1.12E-06,-5.29E-05,-2.88E-05,4.22E-05,8.78E-05,4.87E-05,-2.38E-05,8.94E-05,-6.26E-05,-5.65E-05,0.000238404,0.000140105,0.00011383,-4.91E-35,-6.47E-06,-5.75E-06,-8.26E-06,3.92E-05,1.41E-05,1.57E-05,3.25E-06,7.21E-06,2.21E-05,5.96E-06,3.40E-06,1.28E-05,1.84E-06,5.46E-05
MAQBEO_clean_no_solvent.cif,0.012,191.9082,740.5822,830.76,4584,18088,18336,118,372,624,732,41.0552,21.285,19.738125,59.816625,900,900,3195,2535,11.25,14.25,36,73.5,94,3.586125,7.922225,10.902475,-6.7125,-2.475,-17.69,82.5,66,253,4.75,2.25,17.25,2.175,1.485,6.415,289.1538,585.123,957.5344,1018.834,1176,2424,4144,42,148,226,700,868,17.1258,40.3942,58.4076,17.544,64,96,1,3,0.5329,59.89,87.98,119.78,2,4,-2,-0.04,-0.08,-6,-12,28.09,184.5455124,3.768,-2.933333333,-16.85996933,0.010408278,0.001249914,0.004370572,0.003520712,0.000422797,0.009061164,0.002836108,0.000340584,0.000351231,0.007527404,0.000876552,8.28E-07,2.52E-06,-5.04E-06,1.11E-05,-9.79E-06,1.85E-06,-1.57E-05,1.42E-05,-1.67E-05,-3.05E-05,-7.73E-05,6.31E-05,0.000166782,-0.00014338,0.000125983,-1.91E-35,-2.57E-05,-1.63E-05,-3.30E-05,9.26E-05,7.81E-05,6.19E-05,6.76E-05,7.51E-05,9.14E-05,3.42E-05,0.000131436,6.40E-05,3.25E-05,0.000225472
MAQBIS_clean_no_solvent.cif,0.026,127.8988,456.1952,525.632,2338,4832,6016,64,192,256,320,25.112,26.144,19.38,45.524,841,928,696,1624,8,16,32,48,80,4.0296,4.2504,8.28,-6.16,-2.6,-8.76,84,92,176,8,4,12,2.6,2.44,5.04,289.1538,585.123,957.5344,1018.834,1176,2424,4144,42,148,226,700,868,17.1258,40.3942,58.4076,17.544,64,96,1,3,0.5329,59.89,87.98,119.78,2,4,-2,-0.04,-0.08,-6,-12,28.09,191.443049,3.91,-3,-17.20711,0.011570233,0.00349189,0.004430382,0.003871865,0.001168527,0.008412173,0.003383757,0.001021216,0.000825423,0.005942185,0.002218737,1.91E-07,1.24E-07,-9.46E-07,1.16E-06,-1.80E-06,3.82E-07,-1.14E-06,2.18E-06,3.84E-07,-2.26E-08,-1.09E-05,1.19E-05,2.19E-05,-1.77E-05,2.22E-05,7.24E-36,-2.77E-06,3.42E-07,-1.10E-05,1.48E-05,9.40E-06,5.15E-06,-1.21E-05,2.50E-05,-1.66E-05,-2.75E-05,7.28E-05,3.55E-05,-5.10E-05,0.000153542
MAQJEW_clean_no_solvent.cif,0.000179,52.11282,165.21296,152.8704,984,1338.8,568.8,18.4,83.2,93.6,67.2,7.64696,37.8944,47.9028,46.7377,784,1288,1176,1792,9,36,96,144,108,5.3482,7.3326,6.7881,-8.38,-5.98,-7.28,122,238,188,20,36,36,2.84,6.04,5.28,39.4113,50.8321,58.7552,47.3344,213,277,256,4,4,12,14,4,2.2212,3.4038,3.3142,5.9168,52.75,32,1,1.5,0.5551,56.0425,21.995,14.045,0.5,0,-0.5,-0.01,0,-1.5,0,0,0,0,0,0,0.008935724,-0.000155222,0.004532496,0.003790508,-6.58E-05,0.008842896,0.003169986,-5.51E-05,-4.12E-05,0.005538369,-0.000128463,7.34E-06,-1.47E-05,3.80E-06,-3.05E-05,-2.69E-05,3.26E-07,2.68E-06,1.36E-07,-1.35E-05,6.51E-05,-1.88E-05,-2.91E-05,0.000128629,0.000117258,0.000128833,-1.99E-35,3.44E-05,1.89E-05,-5.73E-06,0.000180702,-0.000149543,-0.000208269,-4.55E-05,-5.03E-06,1.37E-06,0.000170971,-5.70E-05,0.000260663,-9.27E-05,5.19E-05
MAQMEZ_clean_no_solvent.cif,0.011,170.617,672.9868,916.608,2698,7408,8352,112,308,428,512,32.8444,27.72,25.245,55.209,900,1170,1080,2100,12,25,55,90,140,4.8077,6.0522,10.8468,-8.55,-5.4,-13.66,111,144,290,14,12,32,2.88,3.24,7.44,190.1573333,405.076,653.5302667,817.067,789.3333333,1736,2774,29.33333333,132,164,612,697.3333333,12.65146667,30.78973333,46.76746667,18.73866667,59,82.66666667,2,6,0.542766667,95.67333333,136.635076,129.9617427,6,7,-2,0.213333333,0.193333333,-4.671406667,-7.371406667,0,0,0,0,0,0.011319385,-0.003345574,0.004361993,0.004381442,-0.001294986,0.008177964,0.004400978,-0.00130076,-0.000577744,0.003648513,-0.002427869,1.60E-05,-2.43E-05,-4.26E-05,5.73E-06,-2.39E-05,3.92E-05,-1.34E-05,2.45E-05,4.35E-05,5.60E-05,-0.000131969,-0.000143234,8.68E-05,0.000122761,0.000296984,-2.80E-35,8.98E-06,-2.14E-05,-6.25E-05,0.000118531,-2.19E-06,6.88E-05,-8.70E-06,-2.35E-05,3.29E-06,-8.11E-05,-9.09E-05,0.000195641,0.000185982,0.000666373
MAQRAA_clean_no_solvent.cif,0.00232,104.2316,271.1448,297.904,2210,3240,3200,36,120,136,136,18.834,19.608,14.535,34.143,841,696,522,1218,6,10,20,30,46,3.0222,3.1878,6.21,-4.62,-1.95,-6.57,63,69,132,4,1,6,1.95,1.83,3.78,102.6858,183.957,280.0474,270.4616,730,1152,1810,13,38,64,190,146,7.0032,14.707,21.1198,17.6472,64,176,1,3,0.5329,59.89,87.98,162.71,2,-6,-2,-0.04,-0.33,-6,-20.1,202.225,482.43,-0.465,-2,33.04289,0.002216363,0.000422538,0.000812068,0.00083069,0.000158367,0.000897458,0.000849739,0.000161998,3.88E-05,0.000219719,0.000175019,9.71E-06,-1.45E-05,-1.60E-05,4.02E-07,-2.84E-05,2.91E-05,-6.49E-07,4.98E-05,2.06E-05,5.04E-05,-9.48E-07,2.79E-05,8.60E-06,-1.69E-05,0.0001575,-8.66E-08,-1.76E-06,1.77E-06,-7.74E-06,2.97E-05,2.83E-05,-1.89E-05,2.42E-05,-3.96E-05,-1.23E-05,-5.28E-05,-2.57E-05,8.84E-05,3.42E-05,0.000122554
MAQZOV_clean_no_solvent.cif,0.000917,665.1668,4756.6944,5870.6176,12032,62980,82792,776,3188,5708,7640,169.6904,37.9384,32.06653333,106.8278667,729,1174.5,2893.5,3465,18,38.5,114.5,201.8333333,329.1666667,5.2941,9.0447,16.3212,-8.586666667,-2.956666667,-22.98333333,123,95.33333333,357.6666667,20.16666667,14.66666667,59.5,3.568333333,2.271666667,9.726666667,99.1774,168.249,279.6664,326.511,419.2,686.4,691.2,13.2,49.2,65.2,170.4,126.4,5.39748,11.26356,15.60152,23.908,64,64,1,3,0.5329,59.89,87.98,107.665366,2,16,-2,-0.04,0.68,-6,-4.41422,11.236,35.192,1.348,-0.8,-1.765688,0.011880308,-0.002600136,0.0040465,0.004109315,-0.000899369,0.008216713,0.004173105,-0.00091333,-0.000330178,0.003016535,-0.001826234,5.83E-06,-4.77E-06,-3.95E-05,2.27E-05,-1.24E-06,2.77E-05,-5.22E-05,2.87E-06,3.73E-05,-1.38E-05,-0.000152174,9.17E-06,0.000114639,-3.40E-05,7.00E-05,-4.25E-08,-1.88E-05,3.50E-05,7.39E-05,8.10E-05,6.01E-05,-4.59E-05,-3.43E-05,-3.96E-05,-9.61E-05,-4.80E-05,-7.52E-05,0.000283419,0.000241134,0.000444982
MARJAQ_clean_no_solvent.cif,0.016,163.847075,752.28325,685.398,4297.75,14373.5,14474,93,298,444.5,484,34.6488,32.69262222,19.49571111,91.75493333,961,1295.111111,2927.777778,3651.111111,14.66666667,26.44444444,52.88888889,114,151.1111111,4.604533333,6.966044444,13.26524444,-8.811111111,-1.52,-24.14666667,116.6666667,64,336.8888889,16.22222222,4.444444444,46.22222222,2.624444444,0.72,7.488888889,52.1305,60.2688,142.0032,0,481,960,0,5,0,20,12,0,3.2552,6.1904,6.3948,0,66.19354839,0,0.838709677,3.35483871,0.529183871,111.1290323,70.67806452,0,0,0,-2.516129032,0,0,0,0,524.1935484,0,0,10.06451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARKOF_clean_no_solvent.cif,0.02,102.5047,281.945,452.0256,2844,5310,2454,54,228,248,180,21.1674,27.04,30.9946,77.233,2304,1776,2064,3936,17,25,75,125,195,5.4908,7.9476,15.5252,-7.55,-6.51,-16.97,203,293,734,10,10,46,3.69,4.99,14.67,152.1689,351.7919,520.0826,482.10855,674.75,1619,1707,21.5,73.5,128,392,349.5,9.76195,24.1783,33.8111,14.08533333,54,37.33333333,4,14,0.552633333,133.93,202.780152,100.2168187,9.333333333,8.666666667,-3,0.48,0.493333333,-1.342813333,1.257186667,48.0925,176.09,0.98,1,-7.8,0.007477654,-0.001503971,0.002996313,0.002851009,-0.00057342,0.004982073,0.00271275,-0.000545612,-0.00026915,0.002338473,-0.000953445,5.91E-06,-1.11E-05,4.84E-06,-1.54E-05,-3.12E-05,1.69E-05,2.81E-05,5.38E-05,-3.24E-05,7.77E-05,-6.87E-05,-7.01E-05,0.000118755,9.02E-05,0.000254642,-5.69E-09,-3.05E-06,1.19E-05,-8.08E-06,2.37E-05,3.22E-05,-3.37E-05,2.15E-05,-2.76E-05,-1.80E-05,-0.00010169,-4.74E-05,0.000121878,6.21E-05,0.00015658
MARLAS_clean_no_solvent.cif,0.019,166.3579,552.5492,805.5413,3090,6372,4936,111,398,534,599,32.8106,27.04,30.9946,65.6058,2304,1776,2064,3168,15,25,75,115,155,5.4908,7.9476,13.3644,-7.55,-6.51,-13.47,203,293,654,10,12,44,3.69,4.99,13.17,137.6029333,304.5090667,441.2581333,428.5409333,612.3333333,1394.666667,1517.333333,19.33333333,65.33333333,107.3333333,325.3333333,310.6666667,8.799,21.1398,29.10693333,14.08533333,54,37.33333333,4,12.66666667,0.552633333,133.93,184.0534853,100.2168187,9.333333333,8.666666667,-2.333333333,0.48,0.493333333,-1.342813333,1.257186667,50.315,166.7266667,0.98,1.333333333,-7.8,0.007879256,-0.001339338,0.00311425,0.002991716,-0.00050854,0.005081466,0.002874003,-0.000488531,-0.000237165,0.00236981,-0.000829776,6.39E-06,-1.15E-05,6.47E-06,-1.88E-05,-3.43E-05,1.85E-05,3.36E-05,5.89E-05,-3.43E-05,7.61E-05,-6.67E-05,-6.32E-05,0.000126394,9.94E-05,0.000251754,-1.49E-09,-4.21E-06,1.39E-05,-7.68E-06,3.07E-05,4.48E-05,-4.04E-05,2.80E-05,-3.13E-05,-1.96E-05,-0.000117937,-5.55E-05,0.000129598,7.44E-05,0.000157852
MARLID_clean_no_solvent.cif,0.000959,409.9036,2917.2152,3212.96,15096,56348,61248,432,1500,2612,3384,108.0984,30.272,20.2675,64.6195,3249,3648,8436,7809,18.5,65,157.5,268.5,418,9.8696,13.49465,23.19525,-18.72,-9.075,-38.395,392,336.5,917.5,45.5,34,96.5,7.68,6.38,17.54,115.3894,202.521,323.5304,368.439,478,816,834,16,56,78,200,170,6.5104,13.8446,18.7568,17.931,64,48,0.75,2.25,0.5329,44.9175,65.985,80.7490245,1.5,12,-1.5,-0.03,0.51,-4.5,-3.310665,0,0,0,0,0,0.014643442,-0.000465822,0.005025917,0.005198209,-0.00016536,0.01080819,0.005376407,-0.000171029,-6.42E-05,0.004197351,-0.000355606,3.59E-05,-5.70E-05,-0.000128208,-2.27E-05,1.89E-05,7.23E-05,1.92E-05,-9.14E-06,0.000178932,-5.49E-05,0.000126463,-0.000302758,0.000243936,-1.92E-05,0.000148158,-9.70E-35,-6.26E-05,1.60E-06,2.67E-05,0.000256134,-3.31E-05,3.19E-05,1.58E-05,3.68E-05,-0.000127157,-0.00014013,-0.000257235,0.000481019,0.000421645,0.001100465
MARLOJ_clean_no_solvent.cif,0.0043,183.4382,1294.8244,1060.552,7482,20678,12768,130,760,1086,784,52.9688,30.272,16.6375,30.5635,3249,3648,5130,3705,9.5,65,162,196.5,256,9.8696,10.01325,12.09195,-18.72,-7.975,-17.335,392,280.5,476.5,45,28,43.5,7.68,5.06,8.9,116.4977333,225.386,340.8704,384.3676667,501.3333333,976,1006.666667,16,56.66666667,98.66666667,264,210,6.8144,16.2316,20.33786667,26.832,64,80,1,3,0.5329,59.89,87.98,127.6286993,2,16.66666667,-2,-0.04,0.666666667,-6,-6.41422,0,0,0,0,0,0.010139502,0.001420841,0.003557172,0.003533196,0.000495104,0.006389696,0.003509382,0.000491767,0.000158911,0.00205087,0.000889348,1.78E-05,-4.39E-05,-5.88E-05,-1.21E-05,-2.90E-06,3.75E-05,2.42E-05,1.79E-05,0.000100354,2.91E-05,-3.53E-05,-0.000149234,4.02E-05,3.91E-05,0.000136854,-2.76E-35,-1.48E-05,-9.08E-08,-1.59E-06,6.86E-05,-5.80E-06,-3.93E-06,3.05E-05,-1.92E-05,-2.88E-05,-1.60E-05,-5.64E-05,4.06E-05,2.69E-05,0.000141175
MARLUP_clean_no_solvent.cif,0.00514,183.527,1296.0352,1061.6528,7712,21040,12896,130,760,1086,784,51.5672,30.8224,16.9624,31.1192,3364,3712,5278,3770,9.5,65,162,196.5,256,9.5192,9.55995,11.66265,-18.56,-7.865,-17.145,400,286,486,45,28,43.5,7.2,4.73,8.33,116.4977333,225.386,340.8704,384.3676667,501.3333333,976,1006.666667,16,56.66666667,98.66666667,264,210,6.8144,16.2316,20.33786667,26.832,64,80,1,3,0.5329,59.89,87.98,127.6286993,2,16.66666667,-2,-0.04,0.666666667,-6,-6.41422,0,0,0,0,0,0.010185155,0.001412163,0.00356707,0.003554999,0.000492898,0.006415624,0.003542968,0.000491229,0.000152984,0.001991256,0.00088651,1.74E-05,-4.37E-05,-5.82E-05,-1.13E-05,-1.99E-06,3.64E-05,2.26E-05,1.66E-05,0.000103532,2.55E-05,-3.61E-05,-0.000156151,3.55E-05,3.45E-05,0.000136281,-5.01E-35,-1.34E-05,1.95E-06,2.50E-07,6.18E-05,-1.19E-06,-8.81E-06,3.41E-05,-2.12E-05,-3.74E-05,-1.59E-05,-6.01E-05,4.19E-05,3.32E-05,0.000146073
MARNOL_clean_no_solvent.cif,0.015,291.4794,1531.7712,2163.6452,4370,20494,24056,276,832,1498,1772,62.1136,34.8176,37.5342,84.365,729,1161,2619,2821.5,14.5,30.5,82.5,155.5,204.5,5.0841,9.009,13.6269,-8.18,-3.985,-17.615,105.5,132.5,287,15.5,18,41,2.895,3.56,7.455,264.1714,534.5522,856.159,1024.886,1189,2438,3956,37,152,202,718,806,16.9261,39.5018,59.214,21.48,60.25,106.125,1.75,4.75,0.5403,79.5125,121.485,165.0572303,2,6,-1.75,-0.04,0.0675,-6.45,-10.84016625,54.76,444,6.16,0,-1.13555,0.006932065,-0.001315172,0.002826499,0.002592148,-0.00049179,0.004646861,0.002377227,-0.000451015,-0.000258821,0.00244557,-0.00080852,8.48E-07,-4.78E-07,-1.84E-06,3.40E-06,-2.89E-06,2.71E-06,-5.49E-06,4.86E-06,-1.06E-05,1.08E-05,-3.60E-05,8.58E-07,0.000111989,1.00E-05,2.33E-05,1.56E-36,-5.71E-06,8.40E-06,-1.06E-06,2.95E-05,3.69E-05,-2.80E-05,3.21E-05,-2.54E-05,6.17E-07,-5.63E-05,-9.26E-06,6.30E-05,1.52E-05,1.50E-05
MARNUR_clean_no_solvent.cif,0.013,251.5596,1058.3442,1476.2752,4854,19200,19900,196,576,964,1148,51.414,25.212,27.38175,64.82025,900,1065,2940,2745,12.5,21,58,105,139,4.31645,8.53465,12.17645,-7.855,-4.22,-18.66,99.5,127,283.5,8.5,11.5,25,2.6,3.31,7.08,264.1714,534.5522,856.159,1024.886,1189,2438,3956,37,152,202,718,806,16.9261,39.5018,59.214,20.548,61.5,97.5,1.5,4.166666667,0.537833333,72.97166667,110.3166667,144.366307,2,6.666666667,-1.833333333,-0.04,0.116666667,-6.3,-9.853555,45.87,251.3266667,3.3,-1,-9.578516667,0.006912055,-0.002779354,0.002797504,0.002576313,-0.001035942,0.00497989,0.002372611,-0.000954033,-0.000669632,0.003218996,-0.001844099,5.66E-06,-5.11E-06,-4.89E-06,5.05E-06,-1.84E-05,2.09E-05,-8.95E-06,3.72E-05,7.84E-06,-3.14E-05,-1.56E-05,5.64E-06,7.51E-05,-7.81E-05,0.000165374,1.02E-08,-1.42E-05,-2.51E-06,-3.64E-05,8.28E-05,3.61E-05,1.25E-05,1.45E-05,1.46E-05,9.07E-05,6.25E-06,1.43E-05,1.94E-05,2.70E-05,0.000272085
MARPOL_clean_no_solvent.cif,0.011,49.97281304,144.473687,175.9515652,972.8695652,1386,712.173913,24,87.65217391,102.2608696,76.17391304,8.171191304,32.10264,51.85728,44.48772,740.8,1080,1344,2150.4,10.8,36,100.8,144,158.4,5.577,8.33388,7.97148,-5.796,-7.02,-2.856,123.6,248.4,220.8,19.2,40.8,38.4,2.808,6.336,6.576,65.97153333,122.859,202.4653333,222.0504,223.3333333,408,374,10.66666667,38,52.66666667,141.3333333,130.6666667,3.831466667,8.095266667,10.63986667,17.46596923,45,47.11538462,1.807692308,5.846153846,0.571853846,106.1330769,121.4165303,113.6465303,10.5,10.23076923,-1.884615385,0.597692308,0.603076923,1.52313,2.57313,8.424615385,0,0,0,0,0.023584181,-0.009200177,0.009418869,0.008509311,-0.003319478,0.024835085,0.007687586,-0.002998923,-0.00086405,0.006464499,-0.008752591,1.83E-06,-8.27E-06,-1.79E-05,-1.54E-07,-2.48E-06,4.82E-06,4.43E-07,7.73E-06,0.000144991,-1.02E-05,2.20E-06,-1.83E-05,1.75E-06,-1.16E-06,1.96E-05,-2.97E-34,-5.81E-06,-9.77E-06,-6.41E-06,1.58E-05,-5.18E-06,6.08E-05,-6.10E-06,0.000135302,8.25E-05,-9.88E-06,-1.02E-05,0.000316981,0.000120198,9.95E-05
