filename,henry_cons,f-chi-0-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-2-all,f-Z-3-all,f-I-3-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-1-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-3,f-lig-I-0,f-lig-I-3,f-lig-T-0,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,lc-chi-3-all,lc-Z-0-all,lc-Z-3-all,lc-T-0-all,lc-T-1-all,lc-S-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-T-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-alpha-0-all,func-alpha-2-all,D_func-chi-3-all,D_func-T-1-all,D_func-alpha-3-all,feature_2,feature_4,feature_6,feature_7,feature_9,feature_10,feature_11,feature_13,feature_16,feature_17,feature_19,feature_42,feature_44,feature_45,feature_46,feature_47,feature_48,feature_51,feature_52,feature_54,feature_56,feature_58,feature_59,feature_60,feature_61,feature_62,feature_68,feature_86,feature_88,feature_89,feature_90,feature_92,feature_93,feature_96,feature_97,feature_98,feature_100,feature_101,feature_102,feature_103,feature_104
IFESAP_clean_no_solvent.cif,0.252,463.9652,4139.7696,3434.496,27830,141624,138624,528,2112,4272,5664,144.7152,30.272,16.06,86.9,4225,4160,18460,11960,24,64,160,352,448,9.8112,16.464,29.7024,-18.72,-5.8,-52.6,456,236,1376,44,20,136,7.6,3.64,22.64,381.5476,1386.4832,1617.7884,2383.732,1640,4928,8000,48,352,928,5452,6832,20.2128,83.512,107.1152,7.518857143,64,41.14285714,0.428571429,1.285714286,0.5329,25.66714286,37.70571429,51.33428571,0.857142857,1.714285714,-0.857142857,-0.017142857,-0.034285714,-2.571428571,-5.142857143,5.994685714,36.22457143,2.907857143,-0.857142857,-11.66876143,0.014260756,0.004247229,0.010186909,0.009123589,0.002717245,0.014487614,0.008171259,0.002433616,0.000926672,0.004940762,0.003864411,8.68E-14,2.64E-13,-4.52E-13,5.07E-13,-2.59E-13,2.03E-13,-7.76E-13,3.96E-13,-1.38E-12,-7.88E-13,-2.64E-12,1.35E-12,2.96E-12,-1.51E-12,7.71E-13,1.17E-08,1.53E-05,-1.58E-05,1.15E-05,0.000737367,0.000382074,-0.000443818,0.000222945,-0.000258974,0.000187975,-0.000229968,0.000166922,0.000267131,-0.000193897,0.000140739
ILEHUD_clean_no_solvent.cif,0.00902,677.4204,3186.96,3259.4688,17472,58560,80640,480,1344,2112,3264,166.0896,22.704,14.454,56.628,900,960,1800,2400,10.66666667,16,32,64,106.6666667,3.8252,5.5544,10.34026667,-7.16,-2.16,-16.72,88,60,240,8,0,16,2.32,1,6.08,124.7924,192.0862,400.7958,471.3864,974,2020,3084,15,60,78,242,204,7.7109,17.11,25.972,28.1392,64,232,1,4,0.5329,132.5,116.07,220.48,2,-5,-3,-0.04,-0.37,-6,-25.7,426.03,801.63,-1.286666667,5.666666667,94.84059667,0.005793745,-0.003360903,0.002051277,0.002011142,-0.001166647,0.004332574,0.001971793,-0.001143821,-0.000756911,0.002810938,-0.002464116,2.42E-06,-1.66E-06,-3.43E-06,1.29E-05,-2.09E-05,2.74E-05,-3.09E-05,6.25E-05,-2.79E-06,-3.30E-06,-4.61E-05,3.45E-05,0.000286418,-0.000273143,0.00030941,-2.47E-35,-1.70E-08,9.66E-06,-1.85E-06,4.61E-05,1.64E-06,-2.06E-05,-2.07E-05,1.26E-05,-9.08E-06,-8.99E-06,2.77E-05,8.92E-05,-4.81E-05,7.22E-05
ILINIC_clean_no_solvent.cif,0.00199,101.86005,404.1292,413.6832,19391,78726,38296,68,424,632,552,52.8804,22.5112,18.14028571,31.55085714,5150.571429,4563.428571,19750.28571,9257.142857,6.857142857,21.14285714,58.28571429,84.57142857,91.42857143,6.894342857,10.0004,11.04822857,-3.474285714,-1.142857143,-3.817142857,265.1428571,62.85714286,360,8.571428571,2.857142857,11.42857143,2.84,0.885714286,3.828571429,15.7441,15.504,0,0,85,84,0,2,0,2,0,0,1.1554,1.155,0,0,42.5,0,1,1,0.5777,83.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQEKOG_clean_no_solvent.cif,0.016,325.1836,1246.6376,1550.892,5308,15536,13872,208,744,1184,1216,72.9336,20.724,29.4525,52.4205,900,870,1260,1980,12,16,44,84,120,3.9038,7.0609,10.9516,-5.96,-6.3,-11.97,91,168,294,5,7,18,2.26,3.78,7.36,164.2842,327.256,495.3676,541.6378,768,1528,2224,22,76,114,370,364,10.4326,23.7326,33.95,32.175,52.75,159,3.25,9.75,0.5551,140.4025,233.291307,227.008807,5.5,4.5,-2,0.14,0.16,-7.853555,-5.303555,28.09,87.98,1.703333333,-1.333333333,-7.835703333,0.004824536,-0.001006696,0.001939342,0.001859292,-0.000387963,0.002950654,0.001782545,-0.000371949,-0.000214886,0.001634318,-0.000590275,1.69E-05,-4.11E-05,3.11E-06,-5.70E-05,-5.77E-05,6.07E-05,0.000108499,0.000109801,-8.51E-06,0.000141384,-2.34E-05,-2.09E-05,0.0002052,0.000205047,0.00020573,-4.21E-37,-1.04E-05,6.77E-06,-3.80E-05,8.25E-05,6.24E-05,-3.34E-05,5.45E-05,-6.83E-05,-1.18E-05,-8.20E-05,8.42E-06,0.000124171,9.13E-05,0.000298964
KESBOA_clean_no_solvent.cif,0.026,103.692975,311.1633,558.144,2000.25,4806,3024,72,189,261,216,18.9225,25.7184,43.146,75.222375,1455.75,1050,1800,2259,16.5,22.5,67.5,135,189,4.26375,8.7549,13.018275,-5.22,-6.03,-8.9175,118.5,246,491.25,9,18,43.5,2.31,4.44,10.5525,167.1598,374.289,578.141,625.896,661,1560,1884,27,102,148,514,492,11.3571,28.0434,40.7354,26.296,49,84,4,12,0.5625,167.24,267.4568187,206.0718947,10.66666667,13.66666667,-2,0.453333333,0.726666667,-6.542813333,-0.71422,0,0,0,0,0,0.014162711,-0.005703232,0.005007953,0.005251611,-0.00211479,0.009505135,0.005507124,-0.002217683,-0.000972538,0.004371171,-0.004013888,2.97E-06,-2.31E-07,-8.33E-06,1.49E-05,-2.24E-05,6.93E-06,-2.26E-05,3.41E-05,-9.58E-08,-5.17E-06,-4.46E-05,6.63E-05,0.000101921,-0.00014888,0.000219047,-2.10E-35,5.15E-08,1.09E-05,5.85E-06,6.21E-06,1.26E-05,-1.13E-05,-1.93E-05,2.88E-05,2.25E-05,-0.000168625,-0.000105351,0.000216703,0.000135748,9.80E-05
KESBUG_clean_no_solvent.cif,0.024,103.692975,311.1633,558.144,2000.25,4806,3024,72,189,261,216,18.9225,25.7184,43.146,75.222375,1455.75,1050,1800,2259,16.5,22.5,67.5,135,189,4.26375,8.7549,13.018275,-5.22,-6.03,-8.9175,118.5,246,491.25,9,18,43.5,2.31,4.44,10.5525,167.1598,374.289,578.141,625.896,661,1560,1884,27,102,148,514,492,11.3571,28.0434,40.7354,26.296,49,84,4,12,0.5625,167.24,267.4568187,206.0718947,10.66666667,13.66666667,-2,0.453333333,0.726666667,-6.542813333,-0.71422,0,0,0,0,0,0.014159829,-0.005859231,0.005003645,0.005247965,-0.002171568,0.009514259,0.005504214,-0.002277602,-0.001015364,0.0044486,-0.004129162,2.51E-06,-1.76E-07,-6.69E-06,1.39E-05,-2.16E-05,5.86E-06,-2.08E-05,3.25E-05,-1.18E-06,-5.62E-06,-4.50E-05,6.47E-05,0.000115562,-0.000155957,0.00022052,-4.39E-35,-8.43E-07,6.61E-06,3.13E-06,7.04E-06,4.11E-06,-2.11E-07,-2.12E-05,3.31E-05,2.92E-05,-0.000143611,-9.62E-05,0.000191586,0.000125647,0.000106521
KESGAS_clean_no_solvent.cif,0.00587,190.803,639.9764,984.32,2262,7052,6736,120,328,432,424,36.5016,25.42,27.6675,57.3035,625,950,1050,1750,14,25,60,105,160,5.1291,7.4921,12.5934,-8.65,-7,-15.27,87,133,280,13,14,38,3.26,4.34,10.4,150.76515,301.7911,485.021,567.0892,743,1569,2012,22,87,116,380,391,9.62195,22.5209,32.4775,22.31626667,59,72,2,6,0.542766667,95.67333333,136.635076,115.3907942,6,11.88888889,-2,0.213333333,0.54,-4.671406667,-2.266615556,68.71866667,186.6484216,1.518666667,0,4.514312,0.010497208,-0.003328649,0.004648782,0.004059308,-0.0012872,0.007971168,0.003544581,-0.001123981,-0.000600042,0.003715843,-0.002207135,7.76E-06,-9.41E-06,-3.35E-05,2.31E-05,6.51E-06,2.26E-05,-3.80E-05,-1.05E-05,4.63E-05,-1.36E-05,-0.000110415,-7.02E-05,8.45E-05,7.03E-06,8.65E-05,1.09E-37,1.02E-05,1.97E-06,-5.73E-05,7.10E-05,8.69E-05,-4.18E-05,6.13E-05,-0.000113756,-0.000148478,-0.00018204,-2.98E-05,0.000232139,0.000175902,0.000464516
KESHAT_clean_no_solvent.cif,0.00258,133.5401,649.7346,873.885,4202,8925,4776,102,300,453,344,29.4844,26.7584,23.052,41.1659,3481,3245,2832,5015,12,53,115,186,229,9.0288,10.8416,15.8048,-15.77,-11.36,-22.87,358,424,623,38,38,57,7.19,7.92,12.14,102.9082,181.8923333,283.2885333,282.9974667,492,857.3333333,1166.666667,12.66666667,36,62,174.6666667,156,6.013533333,12.6438,17.60746667,25.76744,61.75,121.7,1.45,4.35,0.53734,75.9925,120.626,117.8315684,2.15,5.25,-2,-0.043,0.195,-6.855,-3.079266,41.07,229.215,1.6575,1.5,6.7340025,0.003452415,-0.000928099,0.001377948,0.001203069,-0.000323416,0.002683212,0.001050385,-0.000282371,-0.000289428,0.002401233,-0.000629773,4.58E-06,-8.07E-06,-3.94E-05,-4.75E-06,8.66E-06,1.63E-05,1.19E-05,-9.19E-06,4.10E-05,-2.08E-06,1.16E-05,-0.000116962,1.42E-05,-7.01E-06,6.92E-05,-3.36E-36,-3.06E-06,-1.34E-06,2.22E-05,2.78E-05,-1.34E-05,2.31E-05,-1.88E-05,4.52E-05,-3.88E-05,-8.81E-06,4.43E-05,7.61E-05,-2.73E-05,0.000250063
KETHEY_clean_no_solvent.cif,0.00704,147.217,427.0288,560.5888,5378,7600,5880,68,208,252,252,28.77,22.5784,21.5475,46.4243,2304,1488,1440,2688,10,16,36,60,88,4.3512,5.698,10.0344,-6.6,-4.3,-10.57,161,210,424,7,5,18,2.98,3.55,8.02,174.9885,348.789,544.0004,647.453,780,1572,2348,25,100,132,456,498,11.3601,26.2108,38.2304,18.44,60.25,86,1.75,5.25,0.5403,86.7275,124.471307,127.416307,5,6.25,-2,0.15,0.125,-5.003555,-8.528555,28.09,87.98,1.78,-2,-12,0.007533849,-0.000789923,0.003088135,0.002980286,-0.000312483,0.005060555,0.002876203,-0.00030157,-0.000124475,0.002015839,-0.000512068,2.07E-05,-5.01E-05,9.18E-06,-5.32E-05,-8.88E-05,7.05E-05,0.000108446,0.00017302,-0.000116562,0.000294263,-0.000243661,-0.000239878,0.000355782,0.000417418,0.000570377,-1.73E-35,4.94E-06,-9.41E-07,-3.60E-05,3.16E-05,1.61E-05,-2.68E-06,2.26E-06,-1.56E-05,-3.73E-05,-1.11E-05,2.19E-05,3.43E-05,1.41E-06,0.000269499
LUDTUZ_clean_no_solvent.cif,0.031,62.2744,168.8513333,173.47,7060,10879.83333,6484,24.66666667,119,109.5,47.33333333,18.41866667,17.71275,18.19125,32.44725,900,3202.5,1170,1237.5,8.25,14.25,34.625,51.125,60.75,5.1745,4.89285,6.4321,-4.5475,-3.6,-6.0525,5.75,96,206.25,5,3,14.5,0.9625,2.16,5.8975,230.5746,515.763,796.8186,920.778,954,2232,3192,36,144,198,678,720,15.69,38.4846,55.7232,21.128,49,56,4,12,0.5625,167.24,233.945228,150.325228,14,13,-2,0.72,0.74,-2.01422,1.88578,54.76,276.76,2.45,-2,-19.5,0.007485573,-0.001319633,0.00305759,0.002837968,-0.000500306,0.004711087,0.002634121,-0.00046437,-0.000242434,0.002282861,-0.000770863,3.42E-06,-6.12E-06,4.23E-07,-6.11E-06,-1.68E-05,9.23E-06,1.02E-05,2.76E-05,-3.33E-06,2.98E-05,-5.96E-06,-1.57E-06,2.03E-05,2.89E-05,8.32E-05,-6.81E-35,-3.69E-06,-6.23E-06,-6.26E-05,5.96E-05,1.47E-05,1.67E-05,1.60E-06,4.81E-06,2.11E-05,-2.39E-07,3.62E-05,2.07E-05,2.87E-05,0.00041429
