filename,henry_cons,f-chi-0-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-2-all,f-Z-3-all,f-I-3-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-1-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-3,f-lig-I-0,f-lig-I-3,f-lig-T-0,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,lc-chi-3-all,lc-Z-0-all,lc-Z-3-all,lc-T-0-all,lc-T-1-all,lc-S-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-T-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-alpha-0-all,func-alpha-2-all,D_func-chi-3-all,D_func-T-1-all,D_func-alpha-3-all,feature_2,feature_4,feature_6,feature_7,feature_9,feature_10,feature_11,feature_13,feature_16,feature_17,feature_19,feature_42,feature_44,feature_45,feature_46,feature_47,feature_48,feature_51,feature_52,feature_54,feature_56,feature_58,feature_59,feature_60,feature_61,feature_62,feature_68,feature_86,feature_88,feature_89,feature_90,feature_92,feature_93,feature_96,feature_97,feature_98,feature_100,feature_101,feature_102,feature_103,feature_104,label_y
LURRUM_no_solvent.cif,0.093,160.3628,891.3064,931.8272,5588,14122,9632,116,412,650,556,34.9524,36.7392,29.1564,42.6488,2401,2352,3675,2744,8,36,84,120,144,6.2196,7.4408,8.52,-9.96,-3.92,-9.72,246,268,336,22,22,24,4.14,4.7,5.36,797.6088,2244.627,4329.1408,6654.266,2598,7872,15236,134,1160,1386,8376,9600,47.0486,156.3362,280.7312,13.158,64,72,0.5,1.5,0.5329,29.945,43.99,89.835,1,3,-1,-0.02,-0.06,-3,-9,0,0,0,0,0,0.028165719,0.011148715,0.030529356,0.016946566,0.006707886,0.053005794,0.009406883,0.003723486,0.003728783,0.02946489,0.011646391,0.000168076,-0.000236661,-0.000352071,0.000382883,0.000143859,0.000333696,0.000386428,0.000227846,0.000500436,-0.000182094,-0.001105687,-0.000248862,0.008546841,-0.000988679,0.000350314,1.48E-05,0.000146152,-1.11E-05,-0.000388393,5.28E-05,0.000298102,0.000132828,-0.000435296,-0.00066567,-0.000765048,0.001574012,0.001152089,0.002255877,0.00041226,0.00317066,0
L-Zn_no_solvent,0.00968,457.7154,2853.035,2778.1456,6304,26928,34928,420,3568,4196,4296,113.734,31.218,21.582,86.02275,900,1320,3180,3585,16.5,32.5,77.5,161.5,282,5.25965,8.1482,15.77895,-9.845,-3.18,-24.91,121,74,375.5,19.5,6.5,45,3.19,1.64,9.57,174.69555,345.1565,537.382,651.2134,751.5,1490,2176,25,97,130,419,436,10.8889,24.9563,35.8679,30.874,64,52,1.75,7.75,0.5329,88.3775,109.8519207,113.5518905,4.75,25.5,-3,0.03,1.24,-8.8017775,-0.224885,104.44625,317.8918185,0.72625,0.458333333,0.013407917,0.011040629,-0.001438362,0.00597772,0.00421162,-0.000548686,0.013944175,0.002967309,-0.000386578,-0.000479325,0.012181469,-0.001279914,3.71E-05,9.04E-06,1.37E-05,-9.36E-05,-0.000110324,0.000156125,8.01E-05,0.000179039,-5.80E-06,-9.55E-05,-2.67E-05,-0.000186317,0.000272594,0.000299023,0.000949809,-2.20E-34,5.09E-06,4.22E-06,-3.12E-05,0.00011158,-1.47E-05,-4.08E-07,-1.52E-05,-7.64E-05,3.51E-05,8.02E-05,3.74E-05,0.00035769,-2.35E-05,0.000408818,2
M0F-841_no_solvent,0.00453,687.3518,4476.9568,4997.3568,13280,76576,105216,696,2616,5048,7568,166.628,36.6016,25.1636,109.6984,1600,2560,7680,7680,24.66666667,64,170.6666667,373.3333333,480,8.9936,15.81066667,27.89453333,-16.88,-6.506666667,-49.67333333,256,181.3333333,794.6666667,42.66666667,28,137.3333333,6.48,4.106666667,19.87333333,360.6813,736.032,1192.2908,1572.964,1572,3264,5872,53,248,292,1124,1400,23.6477,56.056,86.0372,3.5088,64,19.2,3.4,8.6,0.5329,107.802,51.304,23.956,0.4,0.8,-1.2,-0.008,-0.016,-1.2,-2.4,22.472,22.472,0.356,-1.2,-2.4,0.002872915,-0.001032568,0.002184817,0.001246048,-0.000447848,0.003879592,0.000710648,-0.000255417,-0.000133609,0.001157424,-0.000795246,9.46E-07,-7.92E-07,-3.12E-06,1.80E-06,-1.21E-06,3.68E-06,-3.39E-06,2.51E-06,9.78E-06,-8.98E-06,-2.09E-05,-1.03E-05,2.52E-05,1.80E-05,2.18E-05,-1.21E-08,9.83E-06,-9.54E-06,-1.11E-05,4.78E-05,7.50E-06,1.25E-05,-4.40E-05,-4.88E-05,1.53E-05,-1.02E-05,2.04E-05,0.000150139,3.07E-05,7.56E-05,1
MAF-2_no_solvent,0.0021,114.6896,322.6532,430.9532,2264,5476,5150,58,192,256,250,23.91,17.328,30.932,55.784,841,609,1102,2697,11,9,27,54,111,3.105,6.3204,12.42,-3.42,-4.88,-8.46,66,136,226,0,0,-4,1.89,3.7,6.18,115.1398,244.7192,403.5254,409.522,373,842,856,19,68,104,290,236,6.6139,16.1862,22.905,33.33866667,49,102.6666667,4,10.66666667,0.5625,148,240.2533333,256.180304,2,18,-1.333333333,-0.04,0.973333333,-7.8,-0.085626667,0,0,0,0,0,0.017626192,0.007838713,0.008583291,0.006062729,0.002696214,0.015467514,0.004282353,0.001904446,0.001528382,0.00876795,0.004858711,3.19E-08,-6.48E-07,8.14E-08,-1.98E-06,3.62E-06,4.87E-07,7.72E-06,-1.42E-05,-1.66E-06,-7.36E-05,-5.04E-06,9.25E-06,0.000122419,-0.000224375,0.000411241,-8.90E-36,6.03E-06,-1.66E-05,-3.29E-06,0.000206115,-0.000335798,4.69E-05,3.35E-05,-6.67E-05,-1.48E-05,-6.65E-05,1.54E-05,0.000224304,0.000119838,0.000120283,1
MAF-23_no_solvent,0.00421,673.4568,2747.296,3735.9456,10704,35680,42720,512,1664,2816,3584,154.8,20.064,35.277,59.5485,900,840,1500,2520,13,16,48,88,164,3.93,8.0172,12.9559,-5.56,-8.18,-14.64,92,190,306,4,10,11,2.24,4.36,7.14,140.7639,300.3304,469.2198,431.8984,585,1288,1408,20.5,60,112,321,270,8.75005,20.7839,29.3797,33.5426,49,90.125,4,11,0.5625,152.81,249.38,213.0069187,2,19.5,-1.5,-0.04,1.1725,-7.8,5.44028125,50.315,204.9633333,2.195,-1.166666667,-2.560665,0.008324425,-0.005895932,0.003086285,0.002619492,-0.001855305,0.008073323,0.0022233,-0.001574694,-0.001910311,0.008312682,-0.004853238,7.05E-07,1.92E-06,8.68E-07,-2.99E-06,4.45E-06,3.39E-06,7.81E-06,-1.16E-05,3.46E-05,1.32E-05,-1.14E-05,2.63E-05,8.78E-05,-6.48E-05,7.70E-05,-3.22E-35,-2.16E-06,-2.41E-07,-1.87E-05,5.06E-05,4.22E-05,7.77E-06,4.41E-05,1.34E-05,4.72E-05,1.08E-05,8.00E-05,1.56E-05,3.06E-06,0.00026257,2
MAF-stu-1_no_solvent,0.013,170.4128,652.4848,887.7904,2696,8548,8164,124,412,684,752,38.9432,20.064,33.66,59.0205,900,840,1440,2010,14,16,48,96,132,3.93,8.0696,11.9472,-5.56,-7.2,-12.67,92,192,353,4,8,23,2.24,4.32,9.22,128.9305,289.17,447.8784,423.252,574,1332,1560,19,62,106,356,298,8.8331,21.5138,31.2352,28.6748,49,124.25,4,12,0.5625,167.24,262.567614,191.897614,8.25,6.75,-2,0.335,0.365,-5.88211,-0.03211,54.76,305.62,1.33,-2,-1.00711,0.004790846,-0.000512511,0.003181901,0.002056467,-0.000219995,0.004195419,0.001329097,-0.000142183,-8.66E-05,0.001651564,-0.000290069,1.23E-05,-1.88E-05,-1.35E-05,-2.62E-05,-1.62E-05,7.59E-05,6.63E-05,3.89E-05,1.84E-05,1.90E-05,2.54E-05,2.14E-05,6.81E-05,2.07E-05,4.10E-05,-3.70E-07,1.64E-07,-5.41E-06,-7.96E-06,5.49E-05,1.57E-05,2.01E-05,-3.79E-07,-1.30E-05,-8.93E-06,1.18E-05,2.13E-05,4.64E-05,3.97E-05,6.25E-05,2
MAF-X25_no_solvent,0.0017,159.3537,988.5234,1065.8448,3399,17952,15612,144,594,1230,1152,52.5156,23.932,31.558,38.037,625,1375,2250,1675,9,25,65,140,130,5.8797,10.1748,9.8829,-7.69,-7.96,-10.59,70,110,158,12,12,19,2.72,3.8,5.4,104.1446,236.4188,345.9244,323.447,512,1184,1328,14,46,80,292,238,7.2062,17.3744,25.504,19.96266667,49,88.66666667,4,9.333333333,0.5625,128.76,203.7466667,189.475076,2,6,-0.666666667,-0.04,0.213333333,-7.8,-5.871406667,0,0,0,0,0,0.00110459,0.000232241,0.000581549,0.000453047,9.53E-05,0.000559536,0.000352939,7.42E-05,2.77E-05,0.000162867,9.16E-05,1.13E-05,-1.80E-05,-1.66E-05,-1.10E-05,-1.00E-05,6.27E-05,2.57E-05,2.28E-05,2.61E-05,8.44E-06,1.55E-05,1.50E-05,1.91E-05,7.80E-06,3.27E-05,-5.89E-07,1.95E-06,-1.67E-06,-2.21E-06,9.99E-06,1.53E-06,-6.63E-06,-1.17E-05,-2.48E-05,-3.55E-05,9.46E-06,1.36E-05,2.86E-05,2.93E-05,5.38E-05,0
MAF-X25ox_no_solvent,0.00164,223.8945,1377.165,1893.6912,3597,20898,20592,252,816,1704,1908,61.845,29.264,38.378,48.701,625,1575,2300,2075,11,36,96,192,192,6.8944,11.2034,11.9123,-9.58,-9.26,-14.37,87,158,192,20,28,34,3.38,5.84,6.72,104.1446,236.4188,345.9244,323.447,512,1184,1328,14,46,80,292,238,7.2062,17.3744,25.504,19.96266667,49,88.66666667,4,9.333333333,0.5625,128.76,203.7466667,189.475076,2,6,-0.666666667,-0.04,0.213333333,-7.8,-5.871406667,0,0,0,0,0,0.00660631,-0.001552397,0.002042752,0.002200369,-0.000517058,0.003200475,0.002370148,-0.000556954,-0.000196629,0.00121709,-0.000810099,3.55E-05,-7.01E-05,-0.000118113,-0.000114703,6.48E-05,8.20E-05,0.00017497,-9.85E-05,0.000225331,-0.000132608,0.000372322,-0.000213096,0.000402706,-0.000233677,0.000141769,-1.33E-06,1.35E-05,4.83E-06,7.82E-06,2.49E-05,-1.60E-05,-1.05E-05,5.12E-05,8.23E-06,3.01E-05,1.35E-05,2.87E-05,2.66E-05,-5.73E-06,4.01E-05,2
MAF-X27_no_solvent,0.00204,162.7494,1029.4896,1104.336,3711,19056,16272,144,594,1230,1152,49.2162,29.0272,39.5176,46.1352,729,1485,2538,1809,9,25,65,140,130,5.3298,8.8956,8.9586,-6.04,-5.98,-7.62,80,122,176,12,12,19,2.07,3.02,4.23,104.1446,236.4188,345.9244,323.447,512,1184,1328,14,46,80,292,238,7.2062,17.3744,25.504,19.96266667,49,88.66666667,4,9.333333333,0.5625,128.76,203.7466667,189.475076,2,6,-0.666666667,-0.04,0.213333333,-7.8,-5.871406667,0,0,0,0,0,0.001139797,0.000270178,0.00065539,0.00050606,0.000119957,0.000681804,0.000390754,9.26E-05,3.54E-05,0.000201286,0.000124791,1.81E-05,-3.13E-05,-2.75E-05,-1.64E-05,-1.80E-05,0.000129219,4.45E-05,4.71E-05,4.58E-05,2.69E-05,2.19E-05,3.05E-05,2.15E-05,9.63E-06,2.85E-05,-6.62E-07,9.62E-07,3.47E-06,-1.21E-06,4.33E-05,1.88E-05,-3.37E-05,-1.18E-05,-2.01E-05,-3.31E-05,-1.58E-05,1.15E-05,3.97E-05,9.34E-06,4.83E-05,0
MAF-X27-Cl_no_solvent,0.00182,162.7494,1029.4896,1104.336,3711,19056,16272,144,594,1230,1152,49.2162,29.0272,39.5176,46.1352,729,1485,2538,1809,9,25,65,140,130,5.3298,8.8956,8.9586,-6.04,-5.98,-7.62,80,122,176,12,12,19,2.07,3.02,4.23,104.1446,236.4188,345.9244,323.447,512,1184,1328,14,46,80,292,238,7.2062,17.3744,25.504,19.96266667,49,88.66666667,4,9.333333333,0.5625,128.76,203.7466667,189.475076,2,6,-0.666666667,-0.04,0.213333333,-7.8,-5.871406667,0,0,0,0,0,0.00106121,0.000211363,0.000428244,0.000361697,7.20E-05,0.000485992,0.000305491,6.08E-05,2.03E-05,0.000136967,8.18E-05,1.19E-05,-2.42E-05,-1.99E-05,-1.31E-05,-1.90E-05,1.91E-05,1.68E-05,2.48E-05,4.23E-05,3.23E-05,2.08E-05,2.75E-05,1.93E-05,1.91E-05,5.09E-05,-5.37E-07,-1.20E-05,8.83E-06,3.80E-06,2.26E-05,2.55E-05,-1.95E-05,3.11E-05,-3.25E-05,-2.14E-05,-3.44E-05,-9.05E-06,5.38E-05,9.34E-06,2.68E-05,2
